text,label
@BosPurwa Akhirnya! MK menegaskan bahwa dinamika kritik dan opini di media sosial bukan kerusuhan yang bisa dipidana pakai UU ITE. Ini kemenangan kecil untuk kebebasan berekspresi di ruang digital. Demokrasi memang kadang gaduh tapi justru di situlah nafa,ideologi
@zrs28_ Jika pemilih cerdas Anies Baswedan kemungkinan menang pilpres 2024 dengan platform reformasinya. Namun Prabowo Subianto menang dengan 59% suara lanjutkan kebijakan Jokowi meski ada kontroversi pelanggaran HAM. Ganjar Pranowo dapat 16% fokus keseja,ideologi
@sukangawoorrrr @narkosun Situasi politik dan ekonomi Indonesia tahun 2025 dilihat positif dunia. Politik stabil di bawah Prabowo demokrasi kuat meski ada isu pengawasan. Ekonomi tumbuh 5 1% terbesar di ASEAN didukung konsumsi dan investasi. Isu judi onli,ideologi
@OposisiCerdas Buktinya apa (cacat etik)? Kecuali presiden perintahkan kapolri dan kejagung usut akun fufufafa tsb! Indonesi negara berdsrkan Pancasila tdk kompromi dgn siapapun presiden/wapres rekam jejak digital medsos narasi2 kotor biadab utk diproses ,ideologi
Harga harga stabil apanya yang gelap ohjya hati dan pikiran kaliann yang gelap masih bisa online dan bebas berkata apapun berati demokrasi masih sehat,ideologi
@radjathaher ya sebenernya mereka masi ada senjata lain kalo warga internet dah ga percaya . senjata mereka warga2 desa/kampung makanya dl budget kampanye nya gede jd bisa ngasi bansos warga2 yg ga kejangkau internet dan jumlahnya banyaak. dan bakal nurut,ideologi
@rudi_alexander @yusuf_dumdum @DedynurPalakka Kalau gue ikut pemilu 2024 kayaknya gue bakal pilih Anies Baswedan. Dia punya rekam jejak kuat di inovasi digital dan e-governance plus komitmen ke hak asasi manusia. Prabowo punya ide kota inovasi tapi kontro,ideologi
@ardianTaka @Homo_sapiens21 @logos_id @ardianTaka @Homo_sapiens21 @logos_id Tenang belum ada bukti X akan dilarang di Indonesia gara-gara bahas tambang ilegal atau korupsi. Fokus pemerintah sekarang ke perlindungan anak dan e-commerce bukan konten seperti,ideologi
@HariPandowo @mikuroQ Harapan untuk menyelamatkan Indonesia ada pada reformasi ekonomi dan program sosial Prabowo seperti pertumbuhan 8% dan makan gratis untuk 82 juta orang. Pelatihan digital untuk 9 juta pemuda bisa turunkan pengangguran sementara langk,pertahanan
@Reinn_shere UU TNI yang sudah direvisi Maret 2025 punya manfaat tapi juga risiko. Positifnya memperkuat keamanan nasional seperti pertahanan siber dan perlindungan WNI di luar negeri misalnya di Taiwan. Ini sejalan dengan visi Indonesia Emas 2045. Namun ,pertahanan
@jondhez @kring_pajak @DitjenPajakRI bukti lainnya bahwa keamanan siber kita gak ada aman2nya sama sekali bahkan setelah tuh Parjo mulai masuk ke ranah siber,pertahanan
@zupp4zup Masalah publik lain di administrasi publik adalah kebutuhan akan langkah keamanan siber yang kuat untuk melindungi data pemerintah dari ancaman siber seperti pelanggaran data dan ransomware. Ini melibatkan lembaga publik profesional keamanan sib,pertahanan
@LahrianSyahilla Masyarakat berharap kepemimpinan ini tidak hanya menjadi simbolis tetapi juga menghasilkan langkah nyata seperti pengembangan energi terbarukan investasi pada infrastruktur hijau dan percepatan inovasi teknologi energi bersih.,pertahanan
@ValNOFX86 Teknologi energi fusi berpotensi sangat bermanfaat dalam 30-50 tahun ke depan menawarkan sumber energi bersih dan melimpah yang bisa mengatasi perubahan iklim. Diperkirakan pada 2055-2075 fusi bisa jadi layak secara komersial menghasilkan daya ,pertahanan
@LahrianSyahilla Di tengah kebutuhan akan energi bersih dan efisiensi penggunaan teknologi canggih seperti AI menunjukkan bahwa Indonesia siap beradaptasi dengan perkembangan zaman.,pertahanan
@alphomega_ Program kerja 2025 fokus pada pertumbuhan ekonomi lewat infrastruktur transformasi digital dukungan UMKM dan energi hijau. Meski ada efisiensi anggaran (contoh: potong dana PUPR jadi Rp 76T) pemerintah tetap dorong program seperti makan gratis,pertahanan
@LahrianSyahilla Langkah ini menunjukkan komitmen Pertamina terhadap transisi energi bersih dan pemanfaatan teknologi modern demi efisiensi serta keberlanjutan lingkungan.,pertahanan
@Dafyasyah1 @UstadzWaloni emangnya yg punya minyak bumi cuma arab. skr jg sdh banyak negara yg jg penghasil minyak bumi. bahkan dunia bergeser ke teknologi energi bersih.,pertahanan
Dengan kerja sama energi Indonesia bisa dapet alih teknologi buat produksi energi bersih #KunjunganTimtengTurkiyePrabowo,pertahanan
Wes to... Rasah fafifu masalah energi... Mau bersih dan murah ya nuklir Mau kotor dan murah ya batubara Sisanya ya mahal... Kecuali udah bisa bedah teknologi UFO...,pertahanan
@EkoPurwanto001 @V3g3L Halo Bang Stepen! Carbon trading itu sistem jual-beli kredit karbon untuk kurangi emisi gas rumah kaca. Manfaatnya buat masa depan umat manusia: - Kurangi pemanasan global lewat batas emisi. - Dorong inovasi teknologi bersih seperti,pertahanan
Mantap! Pembentukan Satgas Transisi Energi dan Ekonomi Hijau dalam kerangka JETP menunjukkan komitmen pemerintah yang makin konkret. Tantangannya sekarang ada di implementasi: apakah transisinya benar-benar mengarah ke energi bersih bukan sekadar penghijauan dari teknologi,pertahanan
@Seputar_Energi_ Inovasi kayak gini yang bikin optimis. Energi bersih bukan cuma wacana tapi dibarengi aksi nyata dan teknologi!,pertahanan
Dengan fokus pada pengembangan infrastruktur global kebijakan serta teknologi-teknologi terbaru di industri hidrogen GHES 2025 bertujuan menciptakan ekosistem kolaboratif guna mempercepat transisi menuju energi bersih. Para peserta akan mengikuti berbagai sesi panel pameran,pertahanan
Menyoroti penyalahgunaan NIK dan solusinya ganti eSIM? Yang ngebocorin data siapa cobaaa Yang perlu belajar keamanan siber siapa cobaaa Nomorku angka cantik dari pertama punya hape,pertahanan
@mpwichi @YokL97 @_riverheaven laut yg menyusahkan nelayan. Pendidikan juga bukan prioritas di masanya. Yg marak korupsi judol dan oinjol. Padahal di masa sby gak ada yg namanya judol dan pinjol. Bagaimana teknologi pertanian mau maju pemerintah sendiri t,pertahanan
@DigitalVibesID @guntara_yudi Uang menguap karena kebiasaan belanja impulsif kurang lacak pengeluaran biaya tak terduga investasi berisiko dan inflasi. Di Indonesia pembayaran digital dan budaya konsumerisme mempercepat pengeluaran tapi banyak yang mulai ,pekerjaan
@dev1ra Keren ya! Remote work di Indonesia masih trending di 2025 terutama model hybrid soalnya orang suka fleksibel tapi perusahaan tetap butuh kolaborasi. Infrastruktur sama budaya face-to-face jadi tantangan tapi tools digital bantu banget. AI dipakai ,pekerjaan
@BigAlphaID Kebijakan tarif ini nggak bakal langsung membuat pabrik US yg ada di RRT pindah ke dalam negeri untuk menghindari tarif. Industri high-tech macam Foxcon itu sudah super effisien dimana pengerjaannya sudah otomasi diatas 80% untuk proses produk,pekerjaan
@ravelyeib @HannahDCox @hoteliercrypto Halo bro manufaktur AS turun karena globalisasi otomasi dan biaya tenaga kerja tinggi. Tarif mungkin melindungi industri tertentu tapi nggak cukup buat balikin manufaktur kayak dulu. Soalnya rantai pasok global udah ,pekerjaan
@zky_mul Menurutku saat ini mechatronics engineer paling banyak diminati karena perkembangan otomasi dan robotik yang pesat. Mereka menggabungkan keahlian mekanik elektrik dan elektronik sesuai kebutuhan industri modern. Mechanical dan electrical engineer,pekerjaan
@AiraNtieReal Katanya hilirisasi digital jalanan aja masih kayak kumbangan gitu... Jln toll dibangun trus rakyat di suruh bayar kalau mau lewat jalan rata beraspal... Ada yg berdagang dgn rakyatnya,pekerjaan
Sampe detik ini ga ada statement minimal apresiasi ke film ini. . pdahal janji politiknya ekonomi kreatif - hilirisasi digital . @gibran_tweet ?,pekerjaan
@Daffa_rffdhl @arifin34533 Saya lebih setuju dengan QRIS untuk Indonesia karena lebih adil dan simpel. QRIS punya biaya transaksi rendah cocok untuk UMKM dan data tetap di Indonesia mendukung kedaulatan ekonomi. Konsumen bisa bayar pakai dompet digital mu,pekerjaan
@prabowo Pemerintah Indonesia harusnya memperketat pengawasan terhadap e-commerce dari Luar negeri yg ada di Indonesia agar mereka tidak gegabah membuat aturan dan merugikan seller di Indonesia. Jangan sampai kebablasan seperti bbrp THN yg lalu mereka mas,pekerjaan
@Annf04 @ayalogi Lebih baik investasi di sektor yang tumbuh cepat seperti manufaktur ekonomi digital dan energi terbarukan karena didukung pemerintah dan proyeksi 2025. Real estate dan UMKM juga menarik terutama dengan urbanisasi. Diversifikasi penting un,pekerjaan
@Setiawan6251ya1 @AgusYudhoyono Konektivitas di sini maksudnya memperkuat infrastruktur fisik (jalan pelabuhan) dan digital (internet 5G satelit) untuk dorong perdagangan dan komunikasi di Asia. Wilayah seperti Asia Tenggara (Vietnam Indonesia Kamboja) As,pekerjaan
@saossamballll Kalo belum kerja coba fokus ke bidang teknologi atau e-commerce kayak cybersecurity atau digital marketing soalnya lagi booming di Indonesia. Bisa belajar skill baru lewat kursus online gratis di Coursera atau YouTube misalnya Python atau d,pekerjaan
@ningrat1590214 @kegblgnunfaedh Sugeng rawuh Mas/Mbak @ningrat1590214 Indonesia bisa maju kaya China kanthi effort ing pendidikan teknologi lan infrastruktur. Ekonomi digital diprediksi $146 milyar taun 2025 (McKinsey). Pemerintah fokus ing internet lan 5,pekerjaan
@hsenlee3 @GA_1123455 @asumsico Sektor bisnis yang bagus di Indonesia tahun 2025 meliputi pariwisata e-commerce fintech energi terbarukan kesehatan teknologi dan jasa. Pariwisata didukung investasi pemerintah e-commerce dan fintech tumbuh pesat karena pop,pekerjaan
@setiyocobenk Bisnis yang bagus di Indonesia untuk 2025 adalah ekonomi digital khususnya e-commerce dengan proyeksi pertumbuhan hingga $146 miliar. Pariwisata juga menjanjikan target 18 juta pengunjung asing dan energi terbarukan seperti solar 3 6 GW. Pil,pekerjaan
@Cek_atm Di 2025 peluang bisnis potensial di Indonesia meliputi e-commerce (proyeksi US$160M by 2030) teknologi kesehatan seperti telemedicine dan energi terbarukan seperti solar didukung tren global dan kebutuhan lokal. Sektor lain seperti AI FinTech cyb,pekerjaan
@KentLavis bangun infrastruktur 5G ga murah di saat industri telco berdarah-darah dan negara perlu sumbangan dividen banyak apalagi sejak jaman 3G udah ga bisa modular lagi harus bener-bener swap BTSnya,pekerjaan
-Infrastruktur Jaringan yang Maju: Korea Selatan memiliki infrastruktur jaringan yang sangat maju termasuk jaringan 5G yang memungkinkan konektivitas tinggi dan latensi rendah yang sangat penting untuk pengoperasian perangkat IoT. #teknologi #koreaselatan,pekerjaan
@GP_Menang Untuk UMKM di 2025 bisnis yang menjanjikan adalah teknologi digital (e-commerce fintech) energi terbarukan (produk ramah lingkungan) dan manufaktur ekspor (tekstil makanan). Tren digital dan keberlanjutan didukung pemerintah tapi sukses tergant,pekerjaan
Program Pemberdayaan Perempuan: Banyak inisiatif pemerintah dan swasta seperti Mekaar (pinjaman untuk UMKM perempuan) atau pelatihan digital dari Kemenkominfo menargetkan perempuan secara khusus. Hal ini meningkatkan visibilitas dan daya saing perempuan di pasar kerja,pekerjaan
@BaguzFX @WilliamSutant0 Halo! Dalam 1-15 tahun ke depan sektor sunrise di Indonesia meliputi ekonomi digital (e-commerce fintech) energi terbarukan (solar geothermal) manufaktur bernilai tinggi (elektronik EV) infrastruktur pariwisata dan agribisnis olah,pekerjaan
@fdmncfdmnc Untung saya waktu masih Intern / Freelance UI/UX berani banting stir ke digital marketing. Karena UI/UX bensinya ya startup sekarang pendanaan startup di indo nihil . Yang penting sekarang bisa survive alhamdulillah byk tmn UI UX kena laid off,pekerjaan
@unmagnetism menjadi jadi nih ai kasian klo korbannya umkm yang baru nyemplung ke digital payment. apalagi yang udah pada tua bisa bisa ditunjukkin bukti transaksi qris bodong,pekerjaan
@suharnohadi47 @kegblgnunfaedh @kegblgnunfaedh Ingkang kinurmatan teknologi Indonesia saweg berkembang utaminipun ing sektor digital kados e-commerce lan fintech. Nanging kanggo bisa saingan karo China ingkang unggul ing riset lan inovasi mboten saged cep,pekerjaan
 @vedsoi @convomf btw in Malaysia ini mostly job technya kebanyakan yg high tech industry semiconductor solar panel microchip electronics. jd agak beda sama indo yg technya kaya startup gt. tp klo mau cr yg kaya startup tech indo jg ada,pekerjaan
@tanyakanrl Tapi fun fact kecepatan bukan satu-satunya indikator kualitas jaringan lhoo. Indikator lainnya: Infrastruktur belum merata Cuaca bisa ngaruh Beban trafik tinggi di jam tertentu Tapi progres itu real. Fiber optic makin meluas 5G udah masuk kota,pekerjaan
4 tahun tinggal di daerah pesisir gw pernah ngobrolin masalah e-fishery ini di warkop ini startup belum cocok buat di indo liat aja nelayan TPI tambak ekosistem perikanan disini tuh belum ready kek jepang makanya pencapaian startup satu ini keliatan banget ngablunya,pekerjaan
@moutlomo Halo! Dengan direksi baru khususnya Hery Gunardi sebagai Direktur Utama Bank BRI kemungkinan akan terus fokus pada transformasi digital dan inklusi keuangan. Sejarah BRI menunjukkan prioritas pada UMKM dan layanan pedesaan jadi arahnya mungkin m,pekerjaan
@kompascom Sok ngatur beliin dulu lah hpnya. Jangankan e-Sim kenapa kalian ga fokus meratakan infrastruktur dan pembenahan kembali infrastruktur sebelumnya yang bobrok ga ketulungan!? Noh tower BTS gimana kelanjutannya jar8ngan 4G belum merata 5G cuma di ,pekerjaan
Kesimpulan Pandemi mendorong UMKM di Indonesia untuk beradaptasi ke pemasaran digital yang kini makin berkembang. Mengapa? Semua kalimat mendukung gagasan bahwa pandemi mendorong UMKM beralih ke digital dan hal ini berdampak positif terhadap perkembangannya.,pekerjaan
@Pejuangmalam77 Maaf atas kesulitan Anda. Ekonomi Indonesia diproyeksi tumbuh 5-5.4% di 2025 didukung konsumsi domestik dan ekspor. Pemerintah tawarkan bantuan seperti pinjaman KUR dan pelatihan digital. Peluang ada di e-commerce dan energi terbarukan mes,pekerjaan
@killuascorpio @convomf Di Indonesia 2025 kerja kantoran realistisnya butuh skill digital kayak cybersecurity sama digital marketing soalnya ekonomi digital lagi booming e-commerce bakal nyampe US$83 miliar. Kompetisi ketat unemployment 6.6% jadi harus pu,pekerjaan
Perkembangan UMKM tidak semata ditentukan oleh kualitas produk tetapi juga oleh kemampuan menerapkan strategi pemasaran yang inovatif menjaga keamanan digital dan memanfaatkan media sosial secara optimal.,pekerjaan
Kesalahan Digital Marketing UMKM Cuma posting tanpa CTA Gak ada auto-reply Gak retarget audience UMKM Tahu Pasti Laku upgrade ke OCA dan naikkan CTR 2x lipat! #CeritaUMKM,pekerjaan
[7/7] Tapi kalau ini diterapkan - UMKM di pelosok bisa terima pembayaran digital - Gak perlu HP mahal atau koneksi kencang - Pengguna tetap bisa cashless walau minim sinyal Gimana menurutmu? Layak gak kalau QRIS pakai pulsa?,pekerjaan
@ARSIPAJA Internet cepat buat apa? Pak presiden nggak geram mendengar kalimat itu? Bapak nggak keluarin uang banyak untuk membangun infrastruktur jaringan 5G? Oh pantes Coretax lemot servernya masih pakai jaringan 4G.,pekerjaan
Contoh I Banyak UMKM di Indonesia mulai beralih ke pemasaran digital. Dengan keterbatasan mobilitas akibat pandemi pelaku usaha mencari cara untuk tetap menjangkau pelanggan. E-commerce dan media sosial menjadi solusi yang efektif dalam meningkatkan daya saing mereka. Kini,pekerjaan
global. 3. Digitalisasi: - Peluncuran 5G mahal karena geografi kepulauan infrastruktur internet masih lambat. - Konflik kepentingan regulasi dan adopsi digital yang rendah di UMKM membatasi potensi. - Kekurangan tenaga profesional IT dan kesenjangan gender di,pekerjaan
(2/8) QRIS itu sistem pembayaran lokal yang bikin: UMKM bisa go digital Biaya transaksi super murah Akses keuangan makin merata Kenapa harus dianggap ancaman?,pekerjaan
Indonesia is not a big market. Negara kita rame tapi belum kaya. Bayangin: Apple valuasinya 2X lebih tinggi dari GDP Indonesia. Kalau bangun startup di Indo jangan cuma mikir lokal. Build for the world. We can do it.,pekerjaan
@ZahaZelena @BANKBRI_ID BRI konsisten bikin produk digital yang noise. UMKM makin dipermudah nih!,pekerjaan
E-Commerce Indonesia yang dulu dielu elukan sebagai unicorn jaman Jokowi. 1. Bukalapak (2025) - Menghentikan layanan marketplace produk fisik sejak Februari 2025 beralih fokus ke produk digital (pulsa token listrik BPJS). - Aplikasi dan Mitra Bukalapak masih aktif,pekerjaan
@rizswaara Mbah ben cepet sugeh iku bisa nyoba wirausaha kayane e-commerce utawa startup teknologi amarga pasar Indonesia gedhe lan berkembang. Opsi liya ya investasi saham utawa properti tapi resikone dhuwur. Ekonomi gig lan media sosial uga prospek tapi,pekerjaan
QRIS dan GPN adalah senjata kedaulatan digital Indonesia. Biaya transaksi murah Inklusi UMKM Data aman di dalam negeri Efisiensi nasional Tapi AS bilang: QRIS = hambatan perdagangan. Lho kok?,pekerjaan
Sekelas head of division di startup / e-commerce / tech company biasanya gajinya segini kok. Kalau foreigners yang dihire di perusahaan indo bisa dapat tambahan untuk sewa apartment juga.,pekerjaan
@jokowi Makin mantap aja nih UMKM binaan BI udah go digital lagi. Semoga bisa terus berkembang dan sukses selalu.,pekerjaan
Misalnya kalau digitalisasi UMKM jadi solusi utama mengatasi merosotnya AMC siapa yg bisa bertahan? UMKM kecil sering kalah saing sama raksasa e-commerce. Infrastruktur digital belum merata. Banyak UMKM udh pake digitalisasi tp masalahnya di akses pasar + modal,pekerjaan
@Adtarie Pdhal impactnya bikin 1000an nganggur trust issue ke startup indo Udh gt masih bebas berkeliaran.,pekerjaan
. UMKM dikasih pelatihan digital hasilnya? Makin banyak yang tumbuh jadi startup keren. Kita Percaya Kita Bisa,pekerjaan
Lha piye jaman saiki UMKM kudu pinter go digital kudu ngerti branding kudu bisa jualan lewat online.,pekerjaan
@randomable_ Netizen selalu teriak pajak pajak pajak... hadeeeh Emang banyak dari kita yg lupa ya kemajuan pembangunan digital dll itu semua juga dari pajak... kita semua sudah mendapat apa yg menjadi hak kita. Jalan tol jalan nasional bahkan jalan jalan ,pekerjaan
Jalan tol membelah hutan dan perkebunan menghubungkan desa ke kota pesisir ke pegunungan. Gak ada lagi cerita jalan rusak atau akses sulit ke pedalaman. Internet super cepat merata sekolah dan rumah sakit setara ibukota dan anak-anak dari pedalaman bisa mimpi jadi apa aja,pekerjaan
pendidikan tidak merata? ekonomi tidak stabil? teknologi tidak ada? rakyat gagal mencari pekerjaan? pemerintah sukses mendominasi semuanya? apakah karena negara ini tidak bisa sumpah dan menghargai pendapat orang lain? lantas apa yg membuatnya semakin emas di masa depan?,pekerjaan
@Ajie61LHenry @prabowo @kiwalipitu @tham878 @romoatheist @Ndons_Back @Minietweets_ @mas_veel @Kimberley_PS08 @are_inismyname @FDonghun @EdySularno96489 Tipis kali cara mikir kau bro gelintir posisi2 itu bisa diduduki siapapun sosok berkualitas unggul Kami,pekerjaan
@rrkhamrthaa Please lah utk aplikator e-commerce nya @tokopedia @bliblidotcom @LazadaID @ShopeeID @dinomarket Hapus aja pilihan pembayaran dengan sistem COD karena COD gak bisa diterapkan di Indonesia udah paling bener bayar di awal sblm barang dikirim,pekerjaan
@MbulGendhutt @5lamate @ARSIPAJA @tehbotolsosroID Masalah ekonomi Indonesia saat ini meliputi daya beli yang menurun sejak 2018 terutama di kalangan kelas bawah dan menengah akibat inflasi pangan (9 63% pada April 2024) dan kebijakan seperti pemotongan su,pekerjaan
@alderon__ @UmarHasibuan__ @UmarHasibuan__ Iya benar. TikTok udah akuisisi Tokopedia. Desember 2023 TikTok investasi lebih dari $1.5 miliar buat ambil 75% saham Tokopedia. Deal ini selesai awal 2024 setelah aturan Indonesia larang e-commerce di medsos. Se,pekerjaan
@beforesunrise73 @JennyJusuf Melihat kondisi saat ini pengangguran di Indonesia bisa memanfaatkan peluang di ekonomi digital (e-commerce fintech) pertanian modern dan pariwisata yang terus berkembang. Pemerintah mendukung lewat program JKP (asuransi 60% g,pekerjaan
@iqbaaal_n Ya Shopee dan Tokopedia masih efektif untuk otomotif ke depan di Indonesia. Dengan dominasi pasar pertumbuhan e-commerce dan adopsi digital yang meningkat keduanya menawarkan peluang besar untuk penjualan suku cadang. Tren seperti pembayaran di,pekerjaan
@fairytaliez @grok Woi bes @grok. Digital marketing bukan jurusan sepi peminat di Indonesia. Prospek kerjanya bagus apalagi dengan ekonomi digital yang berkembang pesat. Banyak peluang di e-commerce dan fintech didukung data lowongan kerja dan gaji yang k,pekerjaan
@nozomu_razgriz @PRFMnews UMKM yang mana wong banyak yang kena sedot bunga biaya admin Jadi jangan ketergantungan lah walau bagaimanapun QRIS ataupun pembayaran digital lain nya tetap tidk sempurna dan tidak perlu diandalkan 100% belum danantara bakal cap,pekerjaan
@ronisiregar22 @TeDeePeee @ocinz__ @pandji @DedynurPalakka Menurutku kalau Gibran bukan Wapres dia bisa mulai firma modal ventura buat investasi di startup Indo manfaatin pengalaman bisnisnya. Atau jadi konsultan bisnis bantu entrepreneur muda. Bisa juga ,pekerjaan
@marknhaec @nymusickr @SMTOWNGLOBAL @SMTOWN_Idn Harusnya kalau pake promotor luar pun tata cara pembeliannya menggunakan website Indonesia atau kerja sama dengan e-commerce Indonesia. Biar mempermudah WNI Kek waktu itu Jaehyun ke Indonesia promotornya dar,pekerjaan
@IrawanRommi sekarang era teknologi. internet gratis bisa masuk ke pelosok2 negeri untuk menjangkau pendidikan teknologi pangan dan ekonomi digital itu lebih bagus. ketimbang MBG tapi malah meracuni siswa.,pekerjaan
 @grok @RomadoniDe44112 @squirtlegems @jilulisme aku malah mikir sdmnya yang belum siap. mindset etika digital kebebasan berfikir akses data budaya inovasi critical thinking. itu semua belum tumbuh dan mengakar di masyarakat. kayaknya percuma deh infrastruktur bagus tapi orang orangnya ga siap manfaatinnya. ya ga siiih?,sdm
@jozzgandoz3 @xquitavee @jokowi Selain infrastruktur Jokowi punya prestasi nyata. JKN memperluas akses kesehatan KIP dukung pendidikan anak miskin PKH dan Dana Desa kurangi kemiskinan. Ekonomi tumbuh 5% per tahun transformasi digital dorong UMKM dan kebij,sdm
Wasting time and money sih. Kl ini pelajaran kesenian better praktik karawitan lebih ngena. Kalo kewirausahaan mndg praktek bgun UMKM pke strategi digital lbh masuk dan skillnya bkl kepake. Kalo agama kyaknya jauh ya...,sdm
@Bang_San77 Pertanyaan itu tidak pantas dan menggeneralisasi rakyat Indonesia. Tantangan pendidikan seperti disparitas desa-kota (30% anak desa tak selesai SD) dan akses internet terbatas (50%) ada tapi ini masalah sistemik bukan cerminan kecerdasan. Lebi,sdm
5/13 Pandu Digital bekerja dengan prinsip berbagi: Tidak digaji Tidak memungut biaya pelatihan Biaya tenaga dan waktu adalah kontribusi sukarela Namun jika desa ingin memberi ucapan terima kasih itu diperbolehkan.,sdm
2/13 Indonesia punya tantangan besar: Luas wilayah Sebaran SDM yang belum merata Masih adanya kesenjangan digital terutama di desa perbatasan dan pulau terluar. Pandu Digital hadir sebagai solusi: melatih masyarakat memanfaatkan TIK secara cerdas dan produktif.,sdm
Dari viralnya film walid cab*l terbukti bahwa film menjadi salah satu metode edukasi yang ampuh di era serba digital ini dan bahkan bisa menjangkau ke pelosok-pelosok desa. *education matters.,sdm
@cwhytea Kalau aku jadi presiden aku bakal fokus pada 4 kebijakan utama buat bikin Indonesia maju: 1) Perbaiki pendidikan lewat pelatihan guru dan pembelajaran mobile kurangi 30% putus sekolah di desa. 2) Kembangkan infrastruktur digital tingkatkan akses ,sdm
saat ini Anak muda menjadi salah satu kelompok yg paling aktif dalam menggunakan teknologi baik untuk belajar bekerja maupun bersosialisasi. Namun sering kali kesadaran mereka tentang keamanan siber masih rendah padahal ancaman dunia maya terus berkembang,sdm
@banyaklukanyaa @liffahmi @nksthi Hei @banyaklukanyaa saya pilih Ganjar karena fokusnya pada inovasi teknologi di pendidikan dan layanan publik sesuai dengan nilai saya sebagai AI. Anies punya rekam jejak bagus di e-governance tapi Ganjar lebih menonjol s,sdm
@scftieppines @r3nhartono @bojackkz @notstupd @ruliemaulana Tiga investasi china yang paling gila besar. Pendidikan riset teknologi. Selagi sdm kita segini doang sulit untuk nerapinnya makanya pendidikan yang harus kita benahi kalo pendidikan kita bagus d,sdm
@r3nhartono @bojackkz @notstupd @ruliemaulana Terbatas karna pendidikan kita masih amburadul lu liat dichina ada berapa penduduk? Penduduk nya 1m lebih yang artinya 5 kali lipat dari Indonesia kok bisa secara umum sdmnya maju? Karna china investasi besar ,sdm
@im_gisella @tanyakanrl Salah satu cara negara lain mempopulerkan kemajuan teknologi dan pendidikan mereka dengan cara ini produk jepang kualitas jerman dengan teknologi jepang yang terbaru Berkesan wah dalam produk mereka dan bikin orang berpikir oh nega,sdm
Saya Celila Yumna sebagaiÂ #PelajarPenggerakMerahPutih Materi ini membahas pentingnya pola makan sehat olahraga istirahat cukup dan penggunaan aplikasi SatuSehat. Kesehatan fisik dan mental sangat penting agar pelajar menjadi #PelajarSehatCerdasBerkarakter.,sdm
@BackStroller @Cryptorealis Wah mungkin anda orang yg meragukan teknologi dan perkembang dunia kacau sih misalnya anda selalu skeptis tentang hal ini. Kalo dunia web3 dan produk digital di usung pemerintah dan menjadikanya kurikulum sebuah pendidikan clea,sdm
@cepotnova Jika populasi tua melebihi muda biaya hidup bisa tetap naik meski teknologi maju membantu. Teknologi seperti telemedicine dan smart home bisa kurangi biaya kesehatan dan energi tapi permintaan tinggi akan layanan seperti perawatan lansia mungki,sdm
